Primitive,Compiler,Opt,Verdict,|t|,Cohen_d
p2,clang,Os,FAIL,24.0060,0.1079
p2,gcc,Ofast,PASS,0.2843,-0.0013
p1,clang,Ofast,FAIL,15.1735,0.0681
p0,clang,Ofast,PASS,0.2917,-0.0013
p1,gcc,O0,FAIL,27.1384,0.1217
p1,clang,O3,PASS,3.1662,0.0142
p2,clang,Ofast,FAIL,6.4940,-0.0292
p0,gcc,O3,FAIL,13.2018,-0.0593
p0,clang,Os,PASS,0.0787,0.0004
p2,gcc,O3,PASS,0.2456,-0.0011
p2,gcc,O0,PASS,0.2441,-0.0011
p0,gcc,Ofast,FAIL,35.1364,-0.1579
p2,clang,O3,PASS,2.4578,0.0110
p1,gcc,Ofast,FAIL,38.4537,-0.1727
p0,clang,O0,PASS,0.5121,-0.0023
p2,clang,O0,FAIL,16.5204,-0.0741
p1,gcc,Os,FAIL,39.7758,0.1784
p1,clang,O0,PASS,2.5950,-0.0116
p0,gcc,O0,PASS,1.3128,-0.0059
p1,clang,Os,PASS,2.5662,-0.0115
p0,gcc,Os,PASS,0.0251,0.0001
p0,clang,O3,PASS,0.0963,-0.0004
p1,gcc,O3,FAIL,35.5963,-0.1598
p2,gcc,Os,FAIL,16.8103,0.0754
