Primitive,Compiler,Opt,Verdict,|t|,Cohen_d
p0,clang,O0,FAIL,15.1191,-0.0680
p1,clang,O0,FAIL,6.0355,-0.0271
p2,clang,O0,FAIL,9.8511,-0.0443
p0,clang,O3,FAIL,11.2158,0.0504
p1,clang,O3,FAIL,48.2454,-0.2172
p2,clang,O3,PASS,0.8365,0.0038
p0,clang,Ofast,FAIL,17.8650,0.0803
p1,clang,Ofast,FAIL,5.8809,0.0264
p2,clang,Ofast,FAIL,10.9485,-0.0492
p0,clang,Os,FAIL,105.2239,0.4737
p1,clang,Os,FAIL,316.6937,1.4317
p2,clang,Os,FAIL,46.2908,0.2083
p0,gcc,O0,FAIL,8.1558,0.0367
p1,gcc,O0,FAIL,5.0988,-0.0229
p2,gcc,O0,FAIL,58.0666,0.2613
p0,gcc,O3,PASS,1.1939,-0.0054
p1,gcc,O3,FAIL,108.8434,0.4903
p2,gcc,O3,FAIL,162.4761,-0.7318
p0,gcc,Ofast,FAIL,41.8447,-0.1880
p1,gcc,Ofast,FAIL,14.4630,0.0650
p2,gcc,Ofast,FAIL,55.2184,-0.2485
p0,gcc,Os,FAIL,7.4461,0.0334
p1,gcc,Os,FAIL,101.1015,0.4556
p2,gcc,Os,FAIL,13.8053,0.0621
p0,msvc,O1,FAIL,17.7530,0.0798
p1,msvc,O1,FAIL,49.6723,0.2234
p2,msvc,O1,FAIL,66.0194,-0.2970
p0,msvc,O2,FAIL,5.4140,-0.0244
p1,msvc,O2,PASS,3.3361,0.0150
p2,msvc,O2,FAIL,9.8151,0.0441
p0,msvc,Od,FAIL,45.6213,-0.2056
p1,msvc,Od,FAIL,55.0140,-0.2479
p2,msvc,Od,PASS,2.1326,0.0096
p0,msvc,Ox,FAIL,73.3024,-0.3297
p1,msvc,Ox,FAIL,6.4747,0.0291
p2,msvc,Ox,FAIL,5.8024,0.0261
